,CountryOfExploitation,citizenship,majorityStatus,gender,yearOfRegistration,isForcedLabour,isSexualExploit,isOtherExploit,Cases,"Adolescent fertility rate (births per 1,000 women ages 15-19)_expl_country","Age at first marriage, female_expl_country","Age at first marriage, male_expl_country","Mortality rate, under-5, male (per 1,000)_expl_country","Mortality rate, under-5, female (per 1,000)_expl_country","Mortality rate, under-5 (per 1,000)_expl_country","Mortality rate, neonatal (per 1,000 live births)_expl_country","Mortality rate, adult, male (per 1,000 male adults)_expl_country","Mortality rate, adult, female (per 1,000 female adults)_expl_country",Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant)_expl_country,"Unemployment, female (% of female labor force)_expl_country","Unemployment, male (% of male labor force)_expl_country","Unemployment, total (% of total labor force)_expl_country","Adolescent fertility rate (births per 1,000 women ages 15-19)_cit_country","Age at first marriage, female_cit_country","Age at first marriage, male_cit_country","Mortality rate, under-5, male (per 1,000)_cit_country","Mortality rate, under-5, female (per 1,000)_cit_country","Mortality rate, under-5 (per 1,000)_cit_country","Mortality rate, neonatal (per 1,000 live births)_cit_country","Mortality rate, adult, male (per 1,000 male adults)_cit_country","Mortality rate, adult, female (per 1,000 female adults)_cit_country",Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant)_cit_country,"Unemployment, female (% of female labor force)_cit_country","Unemployment, male (% of male labor force)_cit_country","Unemployment, total (% of total labor force)_cit_country"
102,MD,MD,Adult,Female,2018,0.0,0.0,0.0,15,22.1802,..,..,16.3,13,14.7,10.9,237.424,95.579,..,2.47199988365173,3.47900009155273,2.9779999256134,22.1802,..,..,16.3,13,14.7,10.9,237.424,95.579,..,2.47199988365173,3.47900009155273,2.9779999256134
103,MD,MD,Adult,Male,2013,0.0,0.0,0.0,18,25.0966,..,..,18,14.3,16.2,12,248.316,101.039,..,4.1399998664856,6.02299976348877,5.10400009155273,25.0966,..,..,18,14.3,16.2,12,248.316,101.039,..,4.1399998664856,6.02299976348877,5.10400009155273
104,MD,MD,Adult,Male,2014,0.0,0.0,0.0,12,24.4262,25,28.7,17.7,14.1,15.9,11.8,246.042,99.914,..,3.05999994277954,4.61299991607666,3.85599994659424,24.4262,25,28.7,17.7,14.1,15.9,11.8,246.042,99.914,..,3.05999994277954,4.61299991607666,3.85599994659424
105,MD,MD,Minor,Female,2004,0.0,0.0,0.0,12,29.4386,23.7,27.1,23.4,18.6,21.1,14.6,313.859,152.048,..,6.32499980926514,10.0880002975464,8.17000007629395,29.4386,23.7,27.1,23.4,18.6,21.1,14.6,313.859,152.048,..,6.32499980926514,10.0880002975464,8.17000007629395
106,MD,MD,Minor,Female,2005,0.0,0.0,0.0,14,28.6804,21.9,25.4,21.9,17.4,19.7,13.8,311.74,151.016,6.1,5.96700000762939,8.64099979400635,7.28999996185303,28.6804,21.9,25.4,21.9,17.4,19.7,13.8,311.74,151.016,6.1,5.96700000762939,8.64099979400635,7.28999996185303
107,MD,MD,Minor,Female,2006,0.0,0.0,0.0,61,27.9222,..,..,20.8,16.6,18.7,13.3,309.62,149.985,..,5.79699993133545,8.96700000762939,7.38000011444092,27.9222,..,..,20.8,16.6,18.7,13.3,309.62,149.985,..,5.79699993133545,8.96700000762939,7.38000011444092
108,MD,MD,Minor,Female,2007,0.0,0.0,0.0,74,27.164,..,..,20.1,16,18.1,13.1,307.5,148.953,..,3.87700009346008,6.24100017547607,5.07000017166138,27.164,..,..,20.1,16,18.1,13.1,307.5,148.953,..,3.87700009346008,6.24100017547607,5.07000017166138
109,MD,MD,Minor,Female,2008,0.0,0.0,0.0,50,26.8846,..,..,19.6,15.6,17.7,12.9,296.118,139.596,..,3.36899995803833,4.56599998474121,3.98000001907349,26.8846,..,..,19.6,15.6,17.7,12.9,296.118,139.596,..,3.36899995803833,4.56599998474121,3.98000001907349
110,MD,MD,Minor,Female,2009,0.0,0.0,0.0,85,26.6052,..,..,19.3,15.3,17.3,12.8,284.737,130.238,..,4.88500022888184,7.82200002670288,6.40000009536743,26.6052,..,..,19.3,15.3,17.3,12.8,284.737,130.238,..,4.88500022888184,7.82200002670288,6.40000009536743
111,MD,MD,Minor,Female,2013,0.0,0.0,0.0,242,25.0966,..,..,18,14.3,16.2,12,248.316,101.039,..,4.1399998664856,6.02299976348877,5.10400009155273,25.0966,..,..,18,14.3,16.2,12,248.316,101.039,..,4.1399998664856,6.02299976348877,5.10400009155273
